City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
188,ndele,overcast clouds,CF,1613537717,23,8.4109,20.6473,20.11,2.78
189,rapid city,broken clouds,US,1613483428,78,44.0805,-103.231,-16.11,1.54
190,tuatapere,clear sky,NZ,1613498818,56,-46.1333,167.6833,16.67,3.58
191,ushuaia,broken clouds,AR,1613554318,82,-54.8,-68.3,8.87,0.64
192,taolanaro,,,,,,,,
193,sentyabrskiy,,,,,,,,
194,belushya guba,,,,,,,,
195,jamestown,light snow,US,1613477488,85,42.097,-79.2353,-9.44,6.69
196,tessalit,broken clouds,ML,1613543057,28,20.1986,1.0114,18.17,13.45
197,rakovnik,light rain,CZ,1613542337,96,50.1037,13.7334,2.97,4.83
198,bredasdorp,few clouds,ZA,1613535383,82,-34.5322,20.0403,15,2.06
199,souillac,scattered clouds,MU,1613527335,76,-20.5167,57.5167,27.56,0.62
200,ushuaia,broken clouds,AR,1613554318,82,-54.8,-68.3,8.87,0.64
201,tuktoyaktuk,overcast clouds,CA,1613495681,88,69.4541,-133.0374,-27.54,3.01
202,ponta do sol,overcast clouds,PT,1613548171,23,32.6667,-17.1,17.22,2.68
203,ivanivka,clear sky,UA,1613536968,93,46.7208,34.553,-10.41,2.84
204,rikitea,light rain,PF,1613486957,75,-23.1203,-134.9692,25.95,6.51
205,taolanaro,,,,,,,,
206,lolua,,,,,,,,
207,matara,clear sky,LK,1613523221,67,5.9485,80.5353,28.26,1.97
208,hobart,clear sky,AU,1613504062,36,-42.8794,147.3294,26.16,3.88
209,bambous virieux,broken clouds,MU,1613527288,94,-20.3428,57.7575,29.44,1.54
210,rikitea,light rain,PF,1613486957,75,-23.1203,-134.9692,25.95,6.51
211,linhares,overcast clouds,BR,1613550831,97,-19.3911,-40.0722,23.34,1.67
212,mataura,clear sky,NZ,1613498528,35,-46.1927,168.8643,18.71,2.52
213,palasa,clear sky,IN,1613522967,41,18.7667,84.4167,28.07,2.28
214,wajid,overcast clouds,SO,1613532060,75,3.8093,43.2471,21.37,7.77
215,weligama,clear sky,LK,1613523250,71,5.9667,80.4167,28.16,0.94
216,torbay,snow,CA,1613557992,98,47.6666,-52.7314,-2.86,8.41
217,petropavlovsk-kamchatskiy,snow,RU,1613507984,64,53.0452,158.6483,0,8
218,pacific grove,clear sky,US,1613487262,82,36.6177,-121.9166,11.11,4.63
219,punta arenas,light rain,CL,1613555214,81,-53.15,-70.9167,10,5.66
220,houma,clear sky,US,1613479277,89,29.5958,-90.7195,-0.08,1.95
221,namibe,clear sky,AO,1613538532,77,-15.1961,12.1522,22.15,1.4
222,henties bay,clear sky,NA,1613537618,85,-22.116,14.2845,17.13,2.49
223,avarua,overcast clouds,CK,1613493032,63,-21.2078,-159.775,29.14,1.79
224,taolanaro,,,,,,,,
225,araguatins,,,,,,,,
226,kapaa,light rain,US,1613495264,94,22.0752,-159.319,23,3.6
227,amderma,,,,,,,,
228,cheuskiny,,,,,,,,
229,ribeira grande,broken clouds,PT,1613551386,73,38.5167,-28.7,14.97,9.59
230,tuktoyaktuk,overcast clouds,CA,1613495681,88,69.4541,-133.0374,-27.54,3.01
231,panguna,moderate rain,PG,1613504604,82,-6.3164,155.4848,26.18,1.58
232,egvekinot,scattered clouds,RU,1613591662,87,66.3167,-179.1667,-26.4,5.74
233,nuuk,broken clouds,GL,1613560521,67,64.1835,-51.7216,-11,6.17
234,fortuna,scattered clouds,US,1613488126,87,40.5982,-124.1573,6.78,2.86
235,novyy urengoy,overcast clouds,RU,1613530355,88,66.0833,76.6333,-27.79,5.01
236,skiros,,,,,,,,
237,chabahar,clear sky,IR,1613529048,53,25.2919,60.643,22.13,2.04
238,inta,overcast clouds,RU,1613534280,84,66.0317,60.1659,-35.02,2.86
239,klaksvik,overcast clouds,FO,1613549219,93,62.2266,-6.589,7,6.69
240,tumannyy,,,,,,,,
241,gat,broken clouds,IL,1613535660,100,31.61,34.7642,9.44,3.13
242,rikitea,light rain,PF,1613486957,75,-23.1203,-134.9692,25.95,6.51
243,atuona,clear sky,PF,1613488702,79,-9.8,-139.0333,26.18,6.76
244,sentyabrskiy,,,,,,,,
245,ilulissat,light snow,GL,1613562097,56,69.2167,-51.1,-14,2.06
246,vaini,few clouds,TO,1613583166,70,-21.2,-175.2,30,2.57
247,bilibino,clear sky,RU,1613509565,80,68.0546,166.4372,-22.86,1.14
248,belushya guba,,,,,,,,
249,hobart,clear sky,AU,1613504062,36,-42.8794,147.3294,26.16,3.88
250,oussouye,clear sky,SN,1613546853,88,12.485,-16.5469,23,1.03
251,illoqqortoormiut,,,,,,,,
252,port elizabeth,clear sky,ZA,1613534103,77,-33.918,25.5701,16.76,6.04
253,puerto ayora,light rain,EC,1613477494,86,-0.7393,-90.3518,24.83,2.33
254,kaitangata,clear sky,NZ,1613498282,64,-46.2817,169.8464,15,6.71
255,punta arenas,light rain,CL,1613555214,81,-53.15,-70.9167,10,5.66
256,candawaga,,,,,,,,
257,ponta do sol,overcast clouds,PT,1613548171,23,32.6667,-17.1,17.22,2.68
258,ambon,scattered clouds,ID,1613511293,46,-3.6954,128.1814,35,4.63
259,busselton,clear sky,AU,1613512567,51,-33.65,115.3333,24.75,5.23
260,airai,overcast clouds,TL,1613511685,70,-8.9266,125.4092,23.4,2.14
261,san cristobal,broken clouds,VE,1613559970,88,7.7669,-72.225,18.36,1.11
262,new norfolk,clear sky,AU,1613504137,33,-42.7826,147.0587,29.44,1.34
263,marawi,overcast clouds,PH,1613512826,73,7.9986,124.2928,25.87,3.19
